Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
Time [ms] , RC Throttle [pct] , RC Steering [pct] , Motor PWM [byte] , Servo Angle [deg]
45091 , 41.50 , 3.25 , 103 , 86.97
45135 , 44.38 , -2.25 , 110 , 85.32
45179 , 45.25 , 3.25 , 113 , 86.97
45223 , 45.25 , 3.00 , 113 , 86.90
45267 , 45.25 , 3.00 , 113 , 86.90
45310 , 42.25 , 4.75 , 105 , 87.43
45355 , 45.25 , -1.00 , 113 , 85.70
45399 , 45.13 , 6.00 , 112 , 87.80
45443 , 45.13 , 5.50 , 112 , 87.65
45487 , 45.25 , 27.00 , 113 , 94.10
45532 , 42.25 , 59.25 , 105 , 103.77
45576 , 45.25 , 68.75 , 113 , 106.62
45620 , 45.13 , 83.00 , 112 , 110.90
45663 , 45.25 , 85.75 , 113 , 111.72
45707 , 45.25 , 45.00 , 113 , 99.50
45751 , 41.50 , 2.75 , 103 , 86.82
45795 , 44.38 , -2.75 , 110 , 85.18
45839 , 44.38 , 2.75 , 110 , 86.82
45883 , 44.38 , 3.00 , 110 , 86.90
45927 , 44.38 , 2.75 , 110 , 86.82
45971 , 41.50 , 3.00 , 103 , 86.90
46015 , 45.25 , -2.75 , 113 , 85.18
46059 , 45.25 , 3.00 , 113 , 86.90
46103 , 45.25 , 3.00 , 113 , 86.90
46146 , 45.13 , 4.50 , 112 , 87.35
46190 , 42.25 , 4.25 , 105 , 87.27
46234 , 45.25 , -1.00 , 113 , 85.70
46278 , 45.13 , 4.50 , 112 , 87.35
46322 , 45.25 , 4.50 , 113 , 87.35
46366 , 45.13 , 4.50 , 112 , 87.35
46410 , 45.13 , -2.75 , 112 , 85.18
46454 , 45.25 , -40.00 , 113 , 74.00
46498 , 44.38 , -62.75 , 110 , 67.18
46542 , 44.38 , -42.50 , 110 , 73.25
46586 , 44.38 , 2.75 , 110 , 86.82
46630 , 41.63 , 2.75 , 104 , 86.82
46674 , 44.38 , 2.75 , 110 , 86.82
46718 , 44.38 , 2.75 , 110 , 86.82
46763 , 44.38 , 2.75 , 110 , 86.82
46807 , 44.38 , 2.75 , 110 , 86.82
46851 , 42.38 , 2.75 , 105 , 86.82
46895 , 45.13 , 2.75 , 112 , 86.82
46939 , 45.13 , 2.75 , 112 , 86.82
46982 , 45.25 , 4.50 , 113 , 87.35
47026 , 45.13 , -18.00 , 112 , 80.60
47070 , 42.38 , -55.50 , 105 , 69.35
47114 , 45.13 , -64.50 , 112 , 66.65
47158 , 44.38 , -56.25 , 110 , 69.12
47202 , 45.25 , -37.75 , 113 , 74.68
47246 , 45.13 , -7.50 , 112 , 83.75
47290 , 42.38 , 4.50 , 105 , 87.35
47334 , 45.25 , 4.25 , 113 , 87.27
47378 , 45.25 , 4.50 , 113 , 87.35
47422 , 44.38 , 3.00 , 110 , 86.90
47466 , 44.50 , 2.75 , 111 , 86.82
47510 , 41.63 , 2.75 , 104 , 86.82
47554 , 44.38 , 2.75 , 110 , 86.82
47598 , 44.38 , 3.00 , 110 , 86.90
47642 , 44.38 , 2.75 , 110 , 86.82
47686 , 45.25 , 3.00 , 113 , 86.90
47730 , 42.38 , -24.00 , 105 , 78.80
47773 , 45.25 , -55.25 , 113 , 69.43
47817 , 45.25 , -78.75 , 113 , 62.38
47861 , 45.25 , -70.00 , 113 , 65.00
47905 , 45.13 , -34.25 , 112 , 75.72
47949 , 42.50 , -9.00 , 106 , 83.30
47993 , 45.13 , 4.50 , 112 , 87.35
48037 , 45.13 , -1.50 , 112 , 85.55
48081 , 45.13 , 4.50 , 112 , 87.35
48125 , 45.25 , 4.25 , 113 , 87.27
48169 , 42.38 , 4.50 , 105 , 87.35
48214 , 45.13 , 4.50 , 112 , 87.35
48258 , 44.38 , -3.00 , 110 , 85.10
48302 , 44.50 , 3.00 , 111 , 86.90
48346 , 44.38 , 2.75 , 110 , 86.82
48390 , 44.38 , 2.75 , 110 , 86.82
48455 , 45.25 , -19.50 , 113 , 80.15
48499 , 44.38 , -41.25 , 110 , 73.62
48543 , 44.38 , -61.25 , 110 , 67.62
48587 , 44.38 , -55.00 , 110 , 69.50
48631 , 41.50 , 4.50 , 103 , 87.35
48675 , 44.38 , -2.75 , 110 , 85.18
48719 , 44.38 , 2.75 , 110 , 86.82
48763 , 44.38 , 2.75 , 110 , 86.82
48807 , 44.38 , 2.75 , 110 , 86.82
48851 , 41.50 , 3.00 , 103 , 86.90
48896 , 44.38 , 3.00 , 110 , 86.90
48940 , 45.25 , 2.75 , 113 , 86.82
48984 , 45.25 , 2.75 , 113 , 86.82
49028 , 45.25 , 2.75 , 113 , 86.82
49071 , 43.38 , 4.50 , 108 , 87.35
49115 , 45.25 , 4.50 , 113 , 87.35
49159 , 45.25 , 4.50 , 113 , 87.35
49203 , 45.13 , 4.50 , 112 , 87.35
49247 , 45.25 , 4.25 , 113 , 87.27
49291 , 42.38 , 4.50 , 105 , 87.35
49335 , 45.25 , 4.50 , 113 , 87.35
49379 , 45.25 , -0.25 , 113 , 85.93
49423 , 44.38 , -35.25 , 110 , 75.43
49467 , 44.38 , -65.00 , 110 , 66.50
49511 , 42.38 , -55.75 , 105 , 69.27
49555 , 44.38 , 2.75 , 110 , 86.82
49599 , 44.50 , 3.00 , 111 , 86.90
49643 , 44.38 , 3.00 , 110 , 86.90
49687 , 44.38 , 2.75 , 110 , 86.82
49731 , 41.63 , 2.75 , 104 , 86.82
49775 , 45.13 , 2.75 , 112 , 86.82
49819 , 45.13 , 2.75 , 112 , 86.82
49863 , 45.25 , 3.00 , 113 , 86.90
49906 , 45.13 , 4.25 , 112 , 87.27
49950 , 42.50 , 4.50 , 106 , 87.35
49994 , 45.25 , 4.50 , 113 , 87.35
50038 , 45.13 , 4.25 , 112 , 87.27
50082 , 45.25 , 4.25 , 113 , 87.27
50126 , 45.13 , 4.50 , 112 , 87.35
50170 , 42.38 , 4.50 , 105 , 87.35
50214 , 45.13 , 4.50 , 112 , 87.35
50258 , 45.13 , -1.25 , 112 , 85.62
50302 , 45.13 , 4.25 , 112 , 87.27
50347 , 44.50 , 2.75 , 111 , 86.82
50391 , 41.63 , 2.75 , 104 , 86.82
50435 , 44.38 , 2.75 , 110 , 86.82
50479 , 44.50 , -3.00 , 111 , 85.10
50523 , 44.38 , 2.75 , 110 , 86.82
50567 , 44.38 , 2.75 , 110 , 86.82
50611 , 42.38 , 2.75 , 105 , 86.82
